out:sDA,out:ID,Link_E1c
0.587302,E1c-1.0-S-0-15_O-0-5123-Yes,https://i.postimg.cc/zGkSqKPN/E1c-1-S-0-15-O-0-5123-Yes-daylight.png
0.492063,E1c-0.8-S-0-15_O-0-5123-Yes,https://i.postimg.cc/SKDXvG1d/E1c-0-8-S-0-15-O-0-5123-Yes-daylight.png
0.380953,E1c-0.6-S-0-15_O-0-5123-Yes,https://i.postimg.cc/QdZW9CWg/E1c-0-6-S-0-15-O-0-5123-Yes-daylight.png
0.777778,E1c-1.4-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/jC0C732G/E1c-1-4-S-0-2-15-O-0-2-6028-No-daylight.png
0.722222,E1c-1.2-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/NMFyqrZJ/E1c-1-2-S-0-2-15-O-0-2-6028-No-daylight.png
0.611111,E1c-1.0-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/X7dkDTfv/E1c-1-S-0-2-15-O-0-2-6028-No-daylight.png
0.547619,E1c-0.8-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/vZ7xWyWz/E1c-0-8-S-0-2-15-O-0-2-6028-No-daylight.png
0.420635,E1c-0.6-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/dQXCF4s8/E1c-0-6-S-0-2-15-O-0-2-6028-No-daylight.png
0.666667,E1c-1.4-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/qgVg3DqY/E1c-1-4-S-0-2-15-O-0-2-5123-No-daylight.png
0.611111,E1c-1.2-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/j52W0JB3/E1c-1-2-S-0-2-15-O-0-2-5123-No-daylight.png
0.539683,E1c-1.0-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/28h7XPQj/E1c-1-S-0-2-15-O-0-2-5123-No-daylight.png
0.444444,E1c-0.8-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/YCNL171z/E1c-0-8-S-0-2-15-O-0-2-5123-No-daylight.png
0.325397,E1c-0.6-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/CMt80mhk/E1c-0-6-S-0-2-15-O-0-2-5123-No-daylight.png
0.444444,E1c-1.4-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/CdTdqrdT/E1c-1-4-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.452381,E1c-1.2-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/0Qj6RJh3/E1c-1-2-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.619048,E1c-1.0-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/8PMmnqRc/E1c-1-S-0-2-15-O-0-2-6028-Yes-daylight.png
